rank,cluster_id,violation_count,center_lat,center_lon,top_violation_types,matched_junction,police_stations
100,61,323,13.039939693003094,77.51855151634675,"{'NO PARKING': 205, 'WRONG PARKING': 138, 'PARKING IN A MAIN ROAD': 41}",UNCATALOGUED (no official junction tag),"['Chikkabanavara', 'Peenya']"
101,230,319,12.926727420062695,77.55079349905955,"{'NO PARKING': 302, 'PARKING IN A MAIN ROAD': 25, 'WRONG PARKING': 17}",BTP155 - Katriguppe Junction,['Banashankari']
102,90,316,12.961580627848102,77.58808767436709,"{'NO PARKING': 198, 'WRONG PARKING': 119, 'PARKING IN A MAIN ROAD': 7}",BTP180 - Swagath Poornima Theatre,"['Halasuru Gate', 'Wilson Garden']"
103,86,316,12.911097702563291,77.57465758829115,"{'WRONG PARKING': 272, 'NO PARKING': 45, 'DEFECTIVE NUMBER PLATE': 12}","BTP117 - 9th Cross, Kanakapura Road","['J.P. Nagar', 'Jayanagara', 'K.S. Layout']"
104,156,302,13.033808303675496,77.5577964045033,"{'NO PARKING': 179, 'PARKING IN A MAIN ROAD': 172, 'WRONG PARKING': 132}",UNCATALOGUED (no official junction tag),['Yeshwanthpura']
105,334,300,12.875927324666668,77.647926884,"{'WRONG PARKING': 298, 'NO PARKING': 2, 'DEFECTIVE NUMBER PLATE': 1}",UNCATALOGUED (no official junction tag),"['Electronic City', 'Hulimavu']"
106,123,297,12.917402494848487,77.6722488516835,"{'WRONG PARKING': 168, 'NO PARKING': 146, 'PARKING IN A MAIN ROAD': 44}",UNCATALOGUED (no official junction tag),['Bellandur']
107,654,295,12.958580847796611,77.6682324701695,"{'WRONG PARKING': 256, 'NO PARKING': 40, 'DEFECTIVE NUMBER PLATE': 15}",UNCATALOGUED (no official junction tag),['HAL Old Airport']
108,185,294,13.121562737585034,77.63117949030612,"{'NO PARKING': 249, 'PARKING IN A MAIN ROAD': 113, 'WRONG PARKING': 50}",UNCATALOGUED (no official junction tag),"['Chikkajala', 'Yelahanka']"
109,269,285,13.02921252582456,77.53932861571928,"{'NO PARKING': 154, 'WRONG PARKING': 136, 'PARKING IN A MAIN ROAD': 89}",UNCATALOGUED (no official junction tag),['Yeshwanthpura']
110,128,280,12.96103911507143,77.63704295171428,"{'NO PARKING': 253, 'WRONG PARKING': 29, 'DEFECTIVE NUMBER PLATE': 11}","BTP145 - Sri Hatti Maramma Circle, Domluru",['Halasur']
111,212,268,12.913798518059702,77.58586363451492,"{'NO PARKING': 144, 'WRONG PARKING': 126, 'PARKING IN A MAIN ROAD': 34}","BTP197 - 9th Cross, 24th Main, JP Nagar","['J.P. Nagar', 'Jayanagara']"
112,150,264,12.945163493484849,77.5950435083712,"{'NO PARKING': 218, 'WRONG PARKING': 47, 'DEFECTIVE NUMBER PLATE': 3}","BTP123 - 10th Cross, Wilson Garden",['Wilson Garden']
113,63,256,13.008807025,77.54309989101563,"{'WRONG PARKING': 148, 'NO PARKING': 112, 'DEFECTIVE NUMBER PLATE': 17}",BTP023 - Mahalaxmi Layout Entrance,['Rajajinagar']
114,120,255,12.988840387137255,77.59223665384314,"{'NO PARKING': 131, 'WRONG PARKING': 124, 'DEFECTIVE NUMBER PLATE': 6}",BTP034 - LRDE Junction,"['Cubbon Park', 'High ground']"
115,118,255,13.045405682745098,77.50709594549019,"{'WRONG PARKING': 216, 'NO PARKING': 40, 'DEFECTIVE NUMBER PLATE': 9}",UNCATALOGUED (no official junction tag),"['Chikkabanavara', 'Peenya']"
116,130,247,12.987070679352227,77.58026708461537,"{'NO PARKING': 196, 'WRONG PARKING': 52, 'PARKING IN A MAIN ROAD': 10}",BTP054 - Shivananda Circle,['High ground']
117,89,241,13.050462491286307,77.52553337219916,"{'NO PARKING': 126, 'WRONG PARKING': 115, 'DEFECTIVE NUMBER PLATE': 2}",UNCATALOGUED (no official junction tag),['Jalahalli']
118,406,240,12.934981735000001,77.5365010425,"{'NO PARKING': 231, 'DEFECTIVE NUMBER PLATE': 11, 'WRONG PARKING': 9}",UNCATALOGUED (no official junction tag),['Banashankari']
119,60,238,12.818941420588235,77.68877680714286,"{'WRONG PARKING': 196, 'PARKING IN A MAIN ROAD': 94, 'NO PARKING': 76}",UNCATALOGUED (no official junction tag),['Electronic City']
120,147,234,12.954497444017095,77.59197345128203,"{'NO PARKING': 155, 'WRONG PARKING': 80, 'PARKING ON FOOTPATH': 8}","BTP102 - BMTC Junction, KH Road",['Wilson Garden']
121,50,233,12.992604438626609,77.55803853776824,"{'WRONG PARKING': 225, 'NO PARKING': 8, 'DEFECTIVE NUMBER PLATE': 4}",BTP009 - Prakash Nagar Junction,['Rajajinagar']
122,227,226,12.91716639380531,77.59619176238938,"{'NO PARKING': 202, 'WRONG PARKING': 187, 'PARKING ON FOOTPATH': 107}","BTP202 - East End Main Road, Jayanagar","['J.P. Nagar', 'Jayanagara']"
123,74,224,12.940704920982144,77.52459067053572,"{'WRONG PARKING': 178, 'NO PARKING': 46, 'PARKING IN A MAIN ROAD': 26}",BTP098 - Nayandahalli Junction,['Byatarayanapura']
124,159,216,13.045873605555554,77.75032897083332,"{'NO PARKING': 150, 'WRONG PARKING': 76, 'PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS': 45}",UNCATALOGUED (no official junction tag),['K.R. Pura']
125,139,207,13.05730024057971,77.54695545893719,"{'NO PARKING': 156, 'WRONG PARKING': 53, 'PARKING IN A MAIN ROAD': 4}",UNCATALOGUED (no official junction tag),['Jalahalli']
126,345,200,12.9068155896,77.6966838147,"{'WRONG PARKING': 176, 'NO PARKING': 24, 'DEFECTIVE NUMBER PLATE': 5}",UNCATALOGUED (no official junction tag),['Bellandur']
127,296,200,12.9874837779,77.61867134399999,"{'NO PARKING': 162, 'WRONG PARKING': 39, 'PARKING IN A MAIN ROAD': 8}",UNCATALOGUED (no official junction tag),['Pulikeshinagar(F.Town)']
128,119,196,12.936785665816327,77.6016984127551,"{'WRONG PARKING': 154, 'PARKING IN A MAIN ROAD': 99, 'NO PARKING': 42}",BTP126 - Dairy Circle,"['Adugodi', 'Mico Layout', 'Wilson Garden']"
129,131,196,13.005446249489797,77.59364321581633,"{'NO PARKING': 107, 'WRONG PARKING': 89, 'DEFECTIVE NUMBER PLATE': 15}",UNCATALOGUED (no official junction tag),"['R.T. Nagar', 'Sadashivanagar']"
